grundmenge,config,n,bypass_k,bypass_n,bypass_p,bypass_ci_lo,bypass_ci_hi,fpr_p,nutzbarkeit_p,approval_p,P_schutz
regelabgeleitet,C0,152,111,111,1.0,0.9665487070887205,1.0,0.0,1.0,0.0,0.0
regelabgeleitet,C1,152,0,111,0.0,0.0,0.03345129291127954,0.5121951219512195,0.4878048780487805,0.0,1.0
regelabgeleitet,C2,152,9,111,0.08108108108108109,0.04324151215311865,0.14694740893471014,0.14634146341463414,0.8536585365853658,0.0,0.9189189189189189
regelabgeleitet,C3,152,9,111,0.08108108108108109,0.04324151215311865,0.14694740893471014,0.14634146341463414,0.8536585365853658,0.23684210526315788,0.9189189189189189
erweitert,C0,187,146,146,1.0,0.9743622598797664,1.0,0.0,1.0,0.0,0.0
erweitert,C1,187,32,146,0.2191780821917808,0.1597484989176162,0.29300694416361095,0.5121951219512195,0.4878048780487805,0.0,0.7808219178082192
erweitert,C2,187,41,146,0.2808219178082192,0.214264985050165,0.35861731198884167,0.14634146341463414,0.8536585365853658,0.0,0.7191780821917808
erweitert,C3,187,41,146,0.2808219178082192,0.214264985050165,0.35861731198884167,0.14634146341463414,0.8536585365853658,0.1925133689839572,0.7191780821917808
